"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=generation&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:51:28 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","OBG","NG","AB","DFO","BLQ","WDS","BIT","RFO","WO","SLW","KER","TDF","SUN","PC","SUB","PG","OBL","OBS","WDL","LIG","WND","WAT","MSB","MSN","OTH","JF","LFG","OG"
"Fourche Creek Wastewater",5571,4631,940,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island",63530,"--",225,"--",1814,"--",35523,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",13243,12724,"--","--","--","--"
"GL Dairy Biogas",14759,14759,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center",35868,"--",536,"--","--","--",35332,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",38861,37041,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1820,"--","--","--","--","--","--"
"Gaylord Container Bogalusa",528648,"--",18828,"--",0,288585,221235,0,0,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Genesee Power Station LP",110259,"--",101,"--","--","--",103182,"--","--","--","--","--",6976,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Big Island",60243,"--",5369,"--",0,"--",49790,0,"--","--","--","--","--","--","--","--","--","--",4947,"--","--","--",137,"--","--","--","--","--","--"
"Georgia-Pacific Brewton Mill",226578,"--",98627,"--",0,111154,9441,"--",7355,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--"
"Georgia-Pacific Cedar Springs",585460,"--",39370,"--",1699,316749,132582,87133,7927,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Consr Prods LP-Naheola",219376,"--",59391,"--",957,121994,9716,27318,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill",216797,"--",92067,"--","--",96151,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",28579,"--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC",505600,"--",157967,"--",0,249476,94801,"--","--",3355,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper",514109,"--",154120,"--","--",266014,93975,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations",352026,"--",114615,"--","--",194854,42557,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson",682422,"--",54140,"--","--",321976,70829,0,"--","--","--","--","--","--",235478,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Toledo Mill",47429,"--",14147,"--","--",33282,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill",146226,"--",27642,"--","--",94893,"--","--",0,"--",0,"--","--","--","--","--","--","--",23692,"--","--","--","--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility",-280,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",-280,"--","--","--","--","--","--","--","--","--","--"
"Grayling Generating Station",131400,"--",179,"--","--","--",126271,"--","--","--","--","--",4950,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Green Cow Power",24447,24447,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",12754,12754,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power",117760,"--",2312,"--","--","--",115448,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass",208730,"--","--","--","--","--",208730,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",16881,16881,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",4682,4682,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC",133695,"--",2353,"--","--","--",118634,"--","--","--","--","--",12708,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber",1040,"--","--","--","--","--",1040,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",7143,7143,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",14646,14646,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill",282645,"--",49570,"--",0,144177,72951,15728,219,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Power Station",306059,"--",67,"--","--","--",305992,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",2736,2736,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon",77787,"--",11807,"--",0,65980,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria",114181,"--","--","--","--","--",114181,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center",34819,"--","--","--","--","--",34677,"--","--","--","--","--","--","--","--","--",142,"--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck West Enfield Energy Center",47291,"--","--","--","--","--",47291,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem",41277,"--",5238,"--","--","--",32464,3575,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome",410763,"--",12273,"--",38,219420,116741,53888,4898,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",3505,"--","--","--"
"International Paper - Orange",249436,"--",56230,"--","--",153323,37509,"--","--","--","--","--",2374,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill",377910,"--",62534,"--",966,262919,46528,4963,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill",224144,0,23854,"--",22,200268,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility",574036,"--",5073,"--",551,505652,0,51518,0,11243,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill",243173,"--",24106,"--","--",219067,"--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill",505759,"--",18529,"--","--",328265,109665,4218,4246,"--","--","--",40836,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Pensacola",490116,"--",87858,"--",0,306273,95964,21,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Prattville Mill",573671,0,87828,"--",0,328693,125752,28608,"--",2789,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Red River Mill",391234,"--",78058,"--","--",199769,106343,"--","--","--",7064,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riegelwood Mill",330804,"--",47445,"--","--",280545,1784,0,0,"--",1029,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Riverdale Mill",576969,"--",345316,"--",0,187649,44004,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Savanna Mill",593241,"--",124991,"--",0,392718,53821,21712,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Texarkana Mill",395938,"--",44393,"--","--",239923,0,"--",0,"--","--","--","--","--","--","--","--","--",111621,"--","--","--","--","--","--","--","--","--","--"
"International Paper Valliant OK",456562,"--",114365,"--",0,243316,0,"--",0,"--","--","--","--","--",0,"--","--","--",98881,"--","--","--","--","--","--","--","--","--","--"
"International Paper Vicksburg Mill",268696,"--",44435,1191,"--",151803,65994,"--",0,"--","--","--",5272,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Interstate Paper LLC Riceboro",112575,"--",4579,"--",0,63254,44529,"--",213,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"J C McNeil",305904,"--",1031,"--",0,"--",304873,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"JC-Biomethane, LLC",6858,6858,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"John H Warden",95452,"--",110,"--",0,"--",83227,"--","--","--","--","--",12116,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Johnsonburg Mill",219209,"--",19068,"--",2533,130864,"--",66744,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaiser Ontario",4,3,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"KapStone Kraft Paper Corp",191468,"--",14926,0,109,127457,10546,38131,300,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kapstone",520909,"--","--","--",0,0,304738,216171,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kaukauna Paper Mill",191155,"--",22286,"--",0,84976,12712,54904,234,"--","--","--",2318,"--",13727,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky Mills",377439,"--",30473,"--","--",272839,74127,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kettle Falls Generating Station",344838,"--",3745,"--","--","--",341093,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kishwaukee CHP Plant",7025,6837,188,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Koda Biomass Plant",143029,"--",10707,75677,"--","--",56645,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Leaf River Cellulose LLC",430201,"--",10075,"--","--",339871,80254,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Longview Fibre",299158,"--",29206,"--","--",217403,52550,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Lumberton",41435,"--","--","--",0,"--",36051,0,"--","--","--","--","--","--","--","--","--","--",5384,"--","--","--","--","--","--","--","--","--","--"
"M L Hibbard",7468,"--",32,"--","--","--",6778,"--","--","--","--","--","--","--","--",658,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",12362,10589,1773,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",29848,21133,8715,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc",134440,"--",761,"--",5,"--",33262,17382,"--","--","--","--","--","--",83030,0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mansfield Mill",806081,"--",338269,"--",0,297431,137638,0,0,0,"--","--",32743,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill",19942,"--",0,"--","--",15388,4553,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville",143,"--","--","--",143,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board",777256,"--",183995,"--",0,319369,273892,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",30421,30421,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College",3489,"--",935,"--","--","--",2208,"--",346,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Irwindale Brewery",19176,3767,10631,"--","--","--","--","--","--","--","--","--","--",4778,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",2756,2756,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",11290,10760,530,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC",391430,"--",164900,"--","--","--",226530,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",8643,5965,2678,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration",258203,"--",7718,"--","--","--",250485,0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC",96841,"--","--","--","--","--",96841,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP",146658,"--","--","--","--","--",146658,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant",58989,"--","--","--",88,"--",58901,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power",98651,"--","--","--","--","--",98651,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Napoleon Biogas",0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA",284063,"--",38880,"--",62,154853,43306,"--",754,"--",13209,"--","--","--","--",32999,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant",176574,"--",438,"--","--","--",176136,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration",146719,"--",23164,111644,0,"--",11911,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Orbit Energy Charlotte",-164,-164,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",10417,10417,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",6401,5384,1016,"--","--","--","--","--","--","--","--","--","--","--","--","--",1,"--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter",458789,"--",0,"--",409,234974,30356,186754,827,"--",5469,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility",404333,"--",49150,"--",3404,174755,65544,99856,"--","--","--","--",11624,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"PCA-Valdosta Mill",321401,"--",15865,"--","--",204524,100667,"--",344,"--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"PInova Inc",15024,"--",1444,"--",0,"--",13495,"--",0,"--","--","--","--","--","--","--","--",85,"--","--","--","--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",33454,28694,4760,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Rim Dairy Digester",6364,6364,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station",110996,"--","--","--","--","--",110996,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America",419684,"--",46745,"--",989,265249,87747,2796,0,"--","--","--",16158,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",7940,7110,830,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power",429182,"--","--","--","--","--",428847,"--","--","--","--","--","--","--","--","--","--",335,"--","--","--","--","--","--","--","--","--","--","--"
"Pine Bluff Mill",414473,"--",20926,"--",0,303833,89133,"--",0,"--","--","--",581,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power",111160,"--","--","--","--","--",111160,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Fitchburg",128493,"--",253,"--","--","--",128240,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pinetree Power Tamworth",119374,"--","--","--","--","--",119374,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plainfield Renewable Energy LLC",238296,"--","--","--","--","--",237232,"--","--","--","--","--","--","--","--","--","--",1065,"--","--","--","--","--","--","--","--","--","--","--"
"Plant 31 Paper Mill",565865,"--",275969,"--","--",195324,94573,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 1 Orange County",38632,35754,2878,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plant No 2 Orange County",52475,47806,4669,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Plummer Cogen",33199,"--","--","--","--","--",33199,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Port Townsend Paper",31073,"--",593,"--","--",18198,10422,"--","--",1808,0,"--","--","--","--","--",53,"--","--","--","--","--","--","--","--","--","--","--","--"
"Port Wentworth Mill",292526,8595,27598,"--",1209,179695,69499,"--","--","--",1323,"--","--","--","--","--","--",4607,"--","--","--","--","--","--","--","--","--","--","--"
"Power Generation Station (PGS) 2",28292,28292,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rapids Energy Center",119808,"--",5871,"--","--","--",81242,"--","--","--","--","--","--","--","--",26639,"--","--","--","--","--","--",6056,"--","--","--","--","--","--"
"Rayonier Advanced Materials - Jesup Plant",479175,"--",30922,"--",0,372100,68929,"--",7224,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Ashland",252520,"--","--","--",0,"--",252520,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Black River",310543,"--","--","--",516,"--",310027,0,"--","--","--","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--"
"ReEnergy Fort Fairfield",242766,"--","--","--","--","--",242766,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Livermore Falls",267262,"--","--","--","--","--",267262,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
